"","age","px","mx","nx"
"1",0,0.887565507384469,0.0145631067961165,2099
"2",1,0.659151905528717,0.0759109311740891,1863
"3",2,0.802931596091205,0.195071868583162,1228
"4",3,0.815415821501014,0.270877944325482,986
"5",4,0.79726368159204,0.251152073732719,804
"6",5,0.765990639625585,0.240105540897098,641
"7",6,0.786150712830957,0.2265625,491
"8",7,0.792746113989637,0.197080291970803,386
"9",8,0.754901960784314,0.179723502304147,306
"10",9,0.761904761904762,0.106508875739645,231
"11",10,0.829545454545455,0.111111111111111,176
"12",11,0.698630136986301,0.130630630630631,146
"13",12,0.745098039215686,0.0844155844155844,102
"14",13,0.605263157894737,0.13,76
"15",14,0.652173913043478,0.0365853658536585,46
"16",15,0.433333333333333,0.02,30
"17",16,0.615384615384615,0,13
"18",17,0.5,0.0555555555555556,8
"19",18,0.25,0,4
"20",19,0,0,1
